Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,6131
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,,1088314
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,,89240
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,,1793
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,,558486
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,,2197
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,1039673
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,128494
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,4193
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,137579
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,1049
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister’s Salary, the Executive Council Act",49301
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act",33155
Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,,Salaries and wages,,4553746
Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,,Employee benefits,,514394
Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,,Transportation and communication,,30120
Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,,Services,,3408160
Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,,Supplies and equipment,,4765
Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,,Transfer payments,Anti-Racism Initiatives,32644280
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Salaries and wages,,7950581
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Employee benefits,,1134414
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Transportation and communication,,432603
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Services,,2091493
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Supplies and equipment,,65038
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Transfer payments,Youth Action Plan,20394808
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Transfer payments,Ontario Heritage Trust,3829300
Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",,Transfer payments,Heritage Sector Support,1143705
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,4170675
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,411692
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,94575
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,154044
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,9617
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,2845240
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,407757
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,25477
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,179289
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,3967
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Transportation and communication,,6604
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Services,,147705452
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,,21136322
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,,2637373
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,,10567
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,,60758716
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,,75150
Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Recoveries,,-90000
Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act",16667
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Salaries and wages,,304209279
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Employee benefits,,31892352
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Transportation and communication,,3949527
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Services,,23818262
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Supplies and equipment,,2886181
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Transfer payments,Bail Safety,1332639
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Transfer payments,Justice Centre – Community Partnerships,6635365
Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,,Transfer payments,Direct Accountability Programs,3594580
